baseline_angle,letter_size,word_spacing,slant_angle,writing_pressure,stroke_density,pen_lift,writing_speed,label
10,15,6,12,40,0.32,5,3,0
12,18,5,10,45,0.40,4,4,1
8,14,7,11,38,0.28,6,3,0
15,20,4,9,50,0.45,3,5,1
9,16,6,10,42,0.35,5,4,0
14,19,4,8,48,0.44,3,5,1
11,17,5,9,43,0.38,4,4,0
16,22,3,7,52,0.48,2,6,1
7,13,7,12,36,0.26,6,3,0
18,23,3,6,55,0.50,2,6,1
10,16,6,11,41,0.34,5,3,0
17,21,4,7,53,0.47,3,5,1
9,15,6,10,39,0.31,5,4,0
15,20,4,8,49,0.43,3,5,1
8,14,7,12,37,0.27,6,3,0
19,24,2,6,57,0.52,2,7,1
10,17,6,10,42,0.36,5,4,0
16,21,4,7,51,0.46,3,5,1
7,13,7,11,35,0.25,6,3,0
18,22,3,6,54,0.49,2,6,1